PROLIFIC_PID,SESSION_ID,STUDY_ID,age,completedAt,country,createdAt,education,gender,q0,q1,q10,q11,q12,q13,q14,q15,q16,q2,q3,q4,q5,q6,q7,q8,q9,selectedMovies,techknow,testGroup,useForImprovementsForOthers,useForRecommendations,useForSharing,work
5f2969a50dddf6040cf4aa50,5f86afcada897621329d2512,5f8574e1321766020cfa1d2e,31,"Wed, 14 Oct 2020 08:04:25 GMT",US,"Wed, 14 Oct 2020 08:00:43 GMT",Master's degree,Male,4,5,5,5,4,4,5,4,5,4,4,5,5,4,5,5,4,"[{'movieId': 227, 'poster_path': '/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg', 'title': 'Lord of the Rings: The Return of the King, The (2003)'}, {'movieId': 578, 'poster_path': '/qJ2tW6WMUDux911r6m7haRef0WH.jpg', 'title': 'Dark Knight, The (2008)'}, {'movieId': 1823, 'poster_path': '/w7WxNbb0mcWpwDMd3pJA7LQRfnt.jpg', 'title': 'Intouchables (2011)'}, {'movieId': 181, 'poster_path': '/pRn3TJHbAqCAO6U8Dw5DayVUuX3.jpg', 'title': 'Gladiator (2000)'}, {'movieId': 688, 'poster_path': '/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg', 'title': 'Harry Potter and the Deathly Hallows: Part 2 (2011)'}]",I am very knowledgeable,b,True,True,True,Employed full time
5a947fb0f05361000171b5a3,5f86b1dd26d85d000c974064,5f8574e1321766020cfa1d2e,20,"Wed, 14 Oct 2020 08:13:47 GMT",US,"Wed, 14 Oct 2020 08:08:42 GMT",High school,Male,4,4,4,3,3,5,3,3,5,3,5,4,3,3,5,4,4,"[{'movieId': 297, 'poster_path': '/k1lICEYRpJeFRIRfjxYwmpO9LTu.jpg', 'title': 'Fight Club (1999)'}, {'movieId': 274, 'poster_path': '/f8rOfzX9UuY4Zc39rljrRbjsWK3.jpg', 'title': 'Goodfellas (1990)'}, {'movieId': 0, 'poster_path': '/pbL5p4YGsqx2xxhQmsW8qBSasdS.jpg', 'title': 'Pulp Fiction (1994)'}, {'movieId': 578, 'poster_path': '/qJ2tW6WMUDux911r6m7haRef0WH.jpg', 'title': 'Dark Knight, The (2008)'}, {'movieId': 480, 'poster_path': '/9eyqhS9MKBQqQJdGmWjKLH396gJ.jpg', 'title': 'Old Boy (2003)'}, {'movieId': 724, 'poster_path': '/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg', 'title': 'Django Unchained (2012)'}, {'movieId': 698, 'poster_path': '/85cWkCVftiVs0BVey6pxX8uNmLt.jpg', 'title': 'Dark Knight Rises, The (2012)'}, {'movieId': 780, 'poster_path': '/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg', 'title': 'Nightcrawler (2014)'}, {'movieId': 133, 'poster_path': '/jW8w2QZnCSRblYWPc5FKAkS1cal.jpg', 'title': 'Truman Show, The (1998)'}, {'movieId': 439, 'poster_path': '/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg', 'title': 'Kill Bill: Vol. 1 (2003)'}, {'movieId': 750, 'poster_path': '/sOxr33wnRuKazR9ClHek73T8qnK.jpg', 'title': 'Wolf of Wall Street, The (2013)'}, {'movieId': 688, 'poster_path': '/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg', 'title': 'Harry Potter and the Deathly Hallows: Part 2 (2011)'}]",I have a good idea of the technical details,b,False,True,False,Employed part time
5f58f55dbf27550b01e8dfb3,5f86b1def335340008e5f385,5f8574e1321766020cfa1d2e,22,"Wed, 14 Oct 2020 08:19:48 GMT",GB,"Wed, 14 Oct 2020 08:13:39 GMT",Bachelor's degree,Female,4,4,4,4,4,4,1,2,5,2,4,2,2,2,4,4,3,"[{'movieId': 79, 'poster_path': '/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg', 'title': 'Shawshank Redemption, The (1994)'}, {'movieId': 89, 'poster_path': '/lKb6h6LURE33I3GRFYgHBUfjwSU.jpg', 'title': ""Schindler's List (1993)""}, {'movieId': 578, 'poster_path': '/qJ2tW6WMUDux911r6m7haRef0WH.jpg', 'title': 'Dark Knight, The (2008)'}, {'movieId': 795, 'poster_path': '/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg', 'title': 'Avengers: Infinity War - Part I (2018)'}, {'movieId': 260, 'poster_path': '/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg', 'title': 'Silence of the Lambs, The (1991)'}, {'movieId': 270, 'poster_path': '/wRTCxYHx1d9diFFmOHQZT7CjdUV.jpg', 'title': 'Wallace & Gromit: The Wrong Trousers (1993)'}, {'movieId': 82, 'poster_path': '/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg', 'title': 'Forrest Gump (1994)'}, {'movieId': 1847, 'poster_path': '/3DzePKMbLMIM636S6syCy3cLPqj.jpg', 'title': 'Pianist, The (2002)'}, {'movieId': 1001, 'poster_path': '/ylagLHIbG0F1blqSFqY6pa56Omr.jpg', 'title': 'Good Will Hunting (1997)'}, {'movieId': 1717, 'poster_path': '/velWPhVMQeQKcxggNEU8YmIo52R.jpg', 'title': 'Green Mile, The (1999)'}, {'movieId': 72, 'poster_path': '/or1gBugydmjToAEq7OZY0owwFk.jpg', 'title': 'Braveheart (1995)'}, {'movieId': 614, 'poster_path': '/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg', 'title': 'Inglourious Basterds (2009)'}, {'movieId': 586, 'poster_path': '/Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg', 'title': 'WALL·E (2008)'}, {'movieId': 916, 'poster_path': '/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg', 'title': 'Spider-Man: Into the Spider-Verse (2018)'}, {'movieId': 783, 'poster_path': '/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg', 'title': 'The Imitation Game (2014)'}, {'movieId': 698, 'poster_path': '/85cWkCVftiVs0BVey6pxX8uNmLt.jpg', 'title': 'Dark Knight Rises, The (2012)'}, {'movieId': 876, 'poster_path': '/rIfKIYMbwVlnAXOOaQRsm34GW3S.jpg', 'title': 'Up (2009)'}, {'movieId': 181, 'poster_path': '/pRn3TJHbAqCAO6U8Dw5DayVUuX3.jpg', 'title': 'Gladiator (2000)'}, {'movieId': 245, 'poster_path': '/8RW2runSEc34IwKN2D1aPcJd2UL.jpg', 'title': 'Batman Begins (2005)'}, {'movieId': 470, 'poster_path': '/nqiAoFnrmxREOXzeTy12L9OlsI9.jpg', 'title': 'Shaun of the Dead (2004)'}, {'movieId': 905, 'poster_path': '/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg', 'title': 'Zootopia (2016)'}, {'movieId': 2007, 'poster_path': '/7XLSwxpfpPoJyTdJVot6a42TS2V.jpg', 'title': 'Help, The (2011)'}, {'movieId': 781, 'poster_path': '/2mxS4wUimwlLmI1xp6QW6NSU361.jpg', 'title': 'Big Hero 6 (2014)'}]",I have a vague idea of the technical details,c,True,True,True,Student
5b92462511bf8a0001269632,5f86b1da51f5f300098f4505,5f8574e1321766020cfa1d2e,36,"Wed, 14 Oct 2020 08:09:23 GMT",GB,"Wed, 14 Oct 2020 08:08:04 GMT",Ph.D. or higher,Male,5,4,2,4,2,3,4,4,5,4,4,4,5,5,5,4,4,"[{'movieId': 274, 'poster_path': '/f8rOfzX9UuY4Zc39rljrRbjsWK3.jpg', 'title': 'Goodfellas (1990)'}, {'movieId': 291, 'poster_path': '/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg', 'title': 'American History X (1998)'}, {'movieId': 79, 'poster_path': '/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg', 'title': 'Shawshank Redemption, The (1994)'}, {'movieId': 89, 'poster_path': '/lKb6h6LURE33I3GRFYgHBUfjwSU.jpg', 'title': ""Schindler's List (1993)""}, {'movieId': 297, 'poster_path': '/k1lICEYRpJeFRIRfjxYwmpO9LTu.jpg', 'title': 'Fight Club (1999)'}]",I am very knowledgeable,d,True,True,True,Employed full time
5eb00bbcb6fdad040af5fcb8,5f86b1d0c1982b000a956cef,5f8574e1321766020cfa1d2e,27,"Wed, 14 Oct 2020 08:17:39 GMT",GB,"Wed, 14 Oct 2020 08:07:59 GMT",Bachelor's degree,Male,4,4,4,4,3,4,2,4,5,4,5,2,3,4,4,4,4,"[{'movieId': 79, 'poster_path': '/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg', 'title': 'Shawshank Redemption, The (1994)'}, {'movieId': 89, 'poster_path': '/lKb6h6LURE33I3GRFYgHBUfjwSU.jpg', 'title': ""Schindler's List (1993)""}, {'movieId': 654, 'poster_path': '/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg', 'title': 'Inception (2010)'}, {'movieId': 270, 'poster_path': '/wRTCxYHx1d9diFFmOHQZT7CjdUV.jpg', 'title': 'Wallace & Gromit: The Wrong Trousers (1993)'}, {'movieId': 207, 'poster_path': '/vN6jGCuzefysLVFrzK3Vs6xAdu1.jpg', 'title': 'Bourne Identity, The (2002)'}, {'movieId': 665, 'poster_path': '/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg', 'title': ""King's Speech, The (2010)""}, {'movieId': 526, 'poster_path': '/tFnTds88mCuLcLPBseK1kF2E3qv.jpg', 'title': 'Little Miss Sunshine (2006)'}]",I am an expert,a,True,True,True,Employed full time
5f4ba3d6e3f1f876c43e6b3b,5f868b990889171ddf16740b,5f8574e1321766020cfa1d2e,28,"Wed, 14 Oct 2020 05:38:01 GMT",US,"Wed, 14 Oct 2020 05:32:27 GMT",Master's degree,Female,3,3,3,2,4,3,4,3,5,4,2,4,3,4,3,4,3,"[{'movieId': 526, 'poster_path': '/tFnTds88mCuLcLPBseK1kF2E3qv.jpg', 'title': 'Little Miss Sunshine (2006)'}, {'movieId': 439, 'poster_path': '/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg', 'title': 'Kill Bill: Vol. 1 (2003)'}, {'movieId': 181, 'poster_path': '/pRn3TJHbAqCAO6U8Dw5DayVUuX3.jpg', 'title': 'Gladiator (2000)'}, {'movieId': 1094, 'poster_path': '/6w1tl5bvnMVc8qenSwqUPFF4MKr.jpg', 'title': 'L.A. Confidential (1997)'}, {'movieId': 1001, 'poster_path': '/ylagLHIbG0F1blqSFqY6pa56Omr.jpg', 'title': 'Good Will Hunting (1997)'}, {'movieId': 2538, 'poster_path': '/tWkYclnnChwoMMBFECsEjd5hb77.jpg', 'title': 'Wallace & Gromit: The Best of Aardman Animation (1996)'}]",I have a good idea of the technical details,a,True,True,True,Employed full time
58d4ebdec8677b0001a2107b,5f86b1d38984c90009c3da9c,5f8574e1321766020cfa1d2e,35,"Wed, 14 Oct 2020 08:11:43 GMT",DE,"Wed, 14 Oct 2020 08:08:09 GMT",High school,Male,4,4,5,5,5,5,1,1,5,4,4,5,5,5,4,4,4,"[{'movieId': 297, 'poster_path': '/k1lICEYRpJeFRIRfjxYwmpO9LTu.jpg', 'title': 'Fight Club (1999)'}, {'movieId': 0, 'poster_path': '/pbL5p4YGsqx2xxhQmsW8qBSasdS.jpg', 'title': 'Pulp Fiction (1994)'}, {'movieId': 758, 'poster_path': '/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg', 'title': 'Interstellar (2014)'}, {'movieId': 159, 'poster_path': '/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg', 'title': 'Matrix, The (1999)'}, {'movieId': 1717, 'poster_path': '/velWPhVMQeQKcxggNEU8YmIo52R.jpg', 'title': 'Green Mile, The (1999)'}]",I am an expert,a,True,True,True,Unemployed (currently looking for job)
5c2b4b959f18a9000179a141,5f86a3eeaab8f71fb9cac380,5f8574e1321766020cfa1d2e,24,"Wed, 14 Oct 2020 07:28:10 GMT",US,"Wed, 14 Oct 2020 07:08:57 GMT",Bachelor's degree,Male,4,4,3,4,3,4,3,4,5,4,4,3,4,4,3,3,4,"[{'movieId': 274, 'poster_path': '/f8rOfzX9UuY4Zc39rljrRbjsWK3.jpg', 'title': 'Goodfellas (1990)'}, {'movieId': 0, 'poster_path': '/pbL5p4YGsqx2xxhQmsW8qBSasdS.jpg', 'title': 'Pulp Fiction (1994)'}, {'movieId': 654, 'poster_path': '/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg', 'title': 'Inception (2010)'}, {'movieId': 344, 'poster_path': '/uprP8rtOgMYJQ2h3ldDFvGsaBgH.jpg', 'title': 'Memento (2000)'}, {'movieId': 268, 'poster_path': '/AjTtJNumZyUDz33VtMlF1K8JPsE.jpg', 'title': 'Reservoir Dogs (1992)'}]",I am very knowledgeable,b,True,True,True,Employed part time
5ea72e6453a3790def66edf6,5f86afd448351c2015e09af3,5f8574e1321766020cfa1d2e,22,"Wed, 14 Oct 2020 08:09:53 GMT",GB,"Wed, 14 Oct 2020 08:03:21 GMT",High school,Male,4,4,2,2,2,5,1,4,5,3,4,3,3,4,4,4,4,"[{'movieId': 2538, 'poster_path': '/tWkYclnnChwoMMBFECsEjd5hb77.jpg', 'title': 'Wallace & Gromit: The Best of Aardman Animation (1996)'}, {'movieId': 586, 'poster_path': '/Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg', 'title': 'WALL·E (2008)'}, {'movieId': 876, 'poster_path': '/rIfKIYMbwVlnAXOOaQRsm34GW3S.jpg', 'title': 'Up (2009)'}, {'movieId': 70, 'poster_path': '/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg', 'title': 'Toy Story (1995)'}, {'movieId': 236, 'poster_path': '/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg', 'title': 'Incredibles, The (2004)'}]",I am an expert,c,True,True,True,Employed full time
,,,22,"Wed, 14 Oct 2020 08:44:59 GMT",DK,"Wed, 14 Oct 2020 08:40:10 GMT",High school,Female,5,5,3,2,2,3,4,5,5,4,4,4,4,4,5,5,4,"[{'movieId': 795, 'poster_path': '/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg', 'title': 'Avengers: Infinity War - Part I (2018)'}, {'movieId': 578, 'poster_path': '/qJ2tW6WMUDux911r6m7haRef0WH.jpg', 'title': 'Dark Knight, The (2008)'}, {'movieId': 202, 'poster_path': '/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg', 'title': 'Lord of the Rings: The Fellowship of the Ring, The (2001)'}, {'movieId': 227, 'poster_path': '/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg', 'title': 'Lord of the Rings: The Return of the King, The (2003)'}, {'movieId': 36, 'poster_path': '/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg', 'title': 'Lord of the Rings: The Two Towers, The (2002)'}, {'movieId': 783, 'poster_path': '/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg', 'title': 'The Imitation Game (2014)'}, {'movieId': 245, 'poster_path': '/8RW2runSEc34IwKN2D1aPcJd2UL.jpg', 'title': 'Batman Begins (2005)'}, {'movieId': 688, 'poster_path': '/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg', 'title': 'Harry Potter and the Deathly Hallows: Part 2 (2011)'}, {'movieId': 830, 'poster_path': '/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg', 'title': 'Logan (2017)'}, {'movieId': 664, 'poster_path': '/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg', 'title': 'Harry Potter and the Deathly Hallows: Part 1 (2010)'}]",I have a good idea of the technical details,b,True,True,True,Student
